Table 2. Velocities of cGPS stations in the Taiwan area w.r.t. Paisha, Penghu (2007-2013)
Site	Lon. (ขX)	Lat. (ขX)	Vh (mm/yr)	Azi(ขX)		Vu (mm/yr)   Period (year)
8118	120.55298	23.46298	15.7กำ0.6       285.5กำ1.8 	0.5กำ3        2007~2014    
AKND    120.35726       22.80331        40.7กำ1         256.2กำ0.5      2.7กำ1.4        2007~2014    
ALIS    120.81329       23.50817        29.2กำ0.5       281.5กำ0.8      0.5กำ1.6        2007.3~2014  
ANKN    121.52472       24.9591         3.7กำ0.4        34.1กำ4.6       -2.3กำ1.5       2007~2014    
BALN    121.42612       24.69948        9.4กำ0.5        342กำ2.4        -1.5กำ1.8       2007~2014    
BANC    121.4421        24.99765        3.3กำ0.5        28.9กำ5.6       -1.6กำ1.8       2007~2014    
BANP    120.3054        22.69313        55กำ1.7         242.8กำ1.3      2.1กำ6.2        2007.3~2013.2
BLOW    121.57124       24.17175        10.5กำ0.7       303.7กำ2.7      1.3กำ2.9        2007~2014    
C001    120.61239       23.41794        25.5กำ0.6       286.9กำ1.1      2กำ2            2007~2014    
C002    120.57719       23.36174        26.1กำ0.5       284.2กำ0.9      3.9กำ1.8        2007~2014    
CHEN    121.37358       23.0974         68.6กำ0.4       309.4กำ0.2      -1.6กำ1.6       2007~2014    
CHIA    120.4332        23.49597        9.3กำ0.4        290.8กำ1.8      -2.3กำ1.4       2007~2014    
CHIH    121.20598       23.11584        38.8กำ0.9       297.6กำ0.7      -4.5กำ3         2007~2014    
CHIN    120.58215       24.27101        0.7กำ1.2        206.6กำ65.7     3.5กำ5          2007~2014    
CHIU    120.8289        23.94538        21.4กำ0.7       303.5กำ1.1      1.9กำ1.9        2007.1~2014  
CHKU    120.09275       23.05584        2.3กำ0.3        250กำ4.9        -4กำ1.1         2007~2014    
CHNL    120.56347       23.37714        21.3กำ4.7       300.8กำ8.9      -5.5กำ16.6      2007.8~2009.6
CHNT    121.66189       24.14921        10.9กำ0.8       285.9กำ3.1      -2.4กำ3.1       2007~2014    
CHUA    120.5573        24.06605        1.9กำ0.5        304.5กำ10.9     -6.2กำ2.6       2007~2014    
CHUK    120.60472       23.43871        17.5กำ1.5       285.2กำ3.3      5.8กำ6.7        2011~2014    
CHUL    121.12568       23.13236        35.5กำ0.8       294.1กำ0.7      2.9กำ2.5        2007~2014    
CHUN    121.3931        23.45285        60.3กำ0.6       311.4กำ0.4      -6กำ1.7         2007~2014    
CHYN    120.2908        23.39327        4.8กำ0.4        282กำ2.5        -6.3กำ1.8       2007~2014    
CLAN    121.512         24.60225        6.6กำ0.4        30.8กำ2.6       2.9กำ2          2007~2014    
CLON    120.5796        22.43005        56กำ0.4         269.7กำ0.3      -16.3กำ3.2      2007~2014    
CTOU    120.27784       22.75468        41กำ0.6         252.3กำ0.6      -3.6กำ2         2007~2014    
CWEN    120.45276       23.47304        10.9กำ0.4       294.9กำ1.6      -1.8กำ1.3       2007~2014    
DAHU    120.87183       24.42288        5.5กำ0.6        298.4กำ5        -2.8กำ1.5       2007~2014    
DAJN    120.86497       22.3113         44.9กำ0.5       288.2กำ0.4      0.5กำ1.7        2007~2014    
DANL    120.75191       22.20413        48กำ1.6         279.1กำ1.3      -0.1กำ5.9       2010.2~2014  
DASI    120.94441       22.47842        37.9กำ3.9       288กำ3.3        18.2กำ10.2      2007~2011    
DCHU    121.28057       23.21318        59.3กำ0.5       311.4กำ0.3      3.4กำ2.1        2007~2014    
DNFU    121.48228       23.68512        45.9กำ1.1       306.3กำ1        -7.4กำ2.8       2007~2014    
DONA    120.70351       22.91562        54.6กำ0.5       271.6กำ0.3      6.9กำ1.7        2007~2014    
DPIN    120.9328        24.04308        22.5กำ0.4       297.8กำ0.6      1.5กำ1.7        2007~2014    
DSIN    121.39803       23.63121        35.9กำ0.8       305.2กำ0.8      -8.1กำ3         2007~2014    
DULI    121.33059       23.02566        65.2กำ1.3       312.3กำ0.8      8.1กำ4          2007~2014    
ERLN    120.41955       23.79759        1.5กำ0.9        356.2กำ30.4     -11.8กำ3.3      2007~2014    
ERPN    121.16611       22.94217        66.4กำ0.4       306.4กำ0.3      5.2กำ2          2007~2014    
FENP    121.51942       23.59845        65.4กำ0.9       313.3กำ0.5      -4.8กำ2.9       2007~2014    
FIVE    121.78107       25.07105        4.1กำ0.5        76กำ5.5         -1.7กำ1.2       2007~2014    
FKDO    120.85627       23.68355        28.3กำ2.8       298.7กำ3.4      -8.5กำ12        2007~2011    
FLON    121.93748       25.02037        4.4กำ0.8        105.9กำ8.9      -3.4กำ2         2007~2014    
