Date  Time  Latitude  Longitude  CWADepth  ML  strike1  dip1  slip1  strike2  dip2  slip2  m11  m22  m33  m12  m13  m23  Mrr  Mtt  Mff  Mrt  Mrf  Mtf  exponentexponent  M0  Mw  Centroid_depth  CLVD  ISO  misfit  gap  nsta  Paz  Ppl  Baz  Bpl  Taz  Tpl  QC
2013-06-02 05:43:03.21 23.8615 120.9741 14.54 6.48 359.17 26.60 84.44 185.38 63.53 92.78 0.086537 -2.265282 2.178745 0.097772 -0.211683 1.664514 2.178745 0.086537 -2.265282 -0.211683 -1.664510 -0.097772 25 2.7871E+25 6.23 14 6.0 0 0.384 140.1 7 -86.687 18.490 4.145 2.486 101.529 71.332 B1
2013-10-31 12:02:09.54 23.5661 121.3485 14.98 6.42 60.15 38.50 111.47 213.47 54.60 73.77 -0.919704 -0.815927 1.735631 1.236088 -0.148708 0.657398 1.735631 -0.919704 -0.815927 -0.148708 -0.657398 -1.236090 25 2.06015E+25 6.15 24 25.8 0 0.411 181 7 -45.011 8.265 -136.959 13.170 76.271 74.371 B3
2014-12-10 21:03:39.07 25.4491 122.6070 268.62 6.70 261.77 20.24 -95.06 87.16 69.84 -88.14 0.792260 0.169671 -0.961931 -0.069869 -1.036828 0.028630 -0.961931 0.792260 0.169671 -1.036828 -0.028630 0.069869 25 1.36806E+25 6.03 258 22.8 0 0.343 270.2 7 0.291 65.110 -93.481 1.749 175.710 24.820 B3
2015-02-13 20:06:31.83 22.6581 121.3966 27.78 6.28 221.31 50.33 133.93 344.84 56.34 50.08 0.434499 -1.975470 1.412186 0.589006 -0.839689 -0.391629 1.412186 0.434499 -1.975470 -0.839689 0.391629 -0.589006 25 2.0611E+25 6.15 22 3.9 -2 0.312 215.5 7 101.874 3.406 9.720 32.278 -162.766 57.499 B1
2015-04-20 01:42:56.1 24.0223 122.4410 30.57 6.38 288.50 32.59 103.20 92.95 58.37 81.69 -3.744951 0.243474 3.501476 -0.753484 1.848139 -0.159979 3.501476 -3.744951 0.243474 1.848139 0.159979 0.753484 25 4.14501E+25 6.35 35 14.9 0 0.473 229.4 7 -171.039 13.001 97.321 7.065 -20.533 75.144 B2
2016-02-05 19:57:26.08 22.9220 120.5438 14.64 6.60 269.71 33.86 14.97 167.19 81.72 122.95 -0.860715 -0.244048 1.104763 -2.796516 0.930994 3.710622 1.104763 -0.860715 -0.244048 0.930994 -3.710620 2.796520 25 4.84421E+25 6.39 27 26.5 0 0.422 142.6 7 -128.907 29.040 -18.138 32.565 109.240 43.547 B3
2016-05-31 05:23:46.39 25.4920 122.6826 256.89 6.91 349.84 33.25 -74.82 151.87 58.05 -99.74 0.493216 2.060508 -2.553723 0.571512 -0.835245 -0.880520 -2.553723 0.493216 2.060508 -0.835245 0.880520 -0.571512 25 2.70274E+25 6.23 253 26.6 0 0.443 296.6 7 34.506 74.910 157.056 8.255 -111.094 12.543 B3
2016-06-23 21:05:30.68 23.5320 123.4198 47.02 6.07 87.67 35.03 -101.32 281.40 55.75 -82.17 1.436974 -0.181101 -1.255873 0.140360 0.499254 0.184230 -1.255873 1.436974 -0.181101 0.499254 -0.184230 -0.140360 25 1.46299E+25 6.05 45 23.0 0 0.433 326 7 -141.718 77.688 96.979 6.469 5.783 10.430 B3
2018-02-06 15:50:41.62 24.1006 121.7296 6.31 6.26 114.55 71.42 161.49 210.64 72.49 19.52 -4.059422 3.577126 0.482296 2.647153 0.692012 2.410790 0.482296 -4.059422 3.577126 0.692012 -2.410790 -2.647150 25 5.2964E+25 6.42 25 26.3 0 0.598 268.1 7 -17.562 0.717 -109.033 64.007 72.788 25.982 C3
2019-04-18 05:01:07.11 24.0543 121.5591 20.33 6.32 55.06 30.04 105.37 217.44 61.14 81.29 -0.610695 -0.506442 2.070886 0.760029 -0.503553 0.951334 2.070886 -0.610695 -0.506442 -0.503553 -0.951334 -0.760029 25 2.04823E+25 6.14 19 15.5 13.2 0.293 290.7 7 -46.167 15.712 -138.325 7.625 106.635 72.448 A3
2020-12-10 13:19:58.66 24.7395 122.0035 75.71 6.64 72.41 42.21 158.88 178.38 75.99 49.77 0.152446 -0.959392 0.806946 1.385714 0.245222 1.449135 0.806946 0.152446 -0.959392 0.245222 -1.449140 -1.385710 25 2.20856E+25 6.17 88 17.0 0 0.243 276.2 7 -62.409 20.644 -170.048 38.809 48.943 44.021 A2
2021-10-24 05:11:34.67 24.5333 121.7752 65.60 6.54 52.20 22.18 127.39 192.66 72.55 76.10 -0.231282 -0.983884 1.447499 0.803207 -0.256458 1.954210 1.447499 -0.231282 -0.983884 -0.256458 -1.954210 -0.803207 25 2.46743E+25 6.20 78 0.1 3 0.263 246.5 7 -66.411 26.276 -163.088 13.252 82.736 60.098 A1
2022-01-03 09:46:37.29 24.0203 122.1710 22.35 6.06 322.94 26.93 168.75 63.00 84.93 63.52 -1.190435 0.725695 0.464740 -0.633573 1.941593 -1.278503 0.464740 -1.190435 0.725695 1.941593 1.278500 0.633573 25 2.62405E+25 6.22 34 18.9 0 0.412 281.4 7 175.523 34.607 65.517 26.372 -52.937 43.861 B2
2022-03-22 17:41:38.85 23.3985 121.6118 25.73 6.70 211.17 38.21 101.66 16.46 52.72 80.96 -0.157776 -0.842221 1.383323 0.384824 -0.044545 -0.358504 1.383323 -0.157776 -0.842221 -0.044545 0.358504 -0.384824 26 1.2659E+26 6.67 31 20.7 8.8 0.346 175.9 7 112.886 7.311 21.960 7.181 -112.067 79.724 B3
2022-05-09 06:23:03.24 23.9702 122.5257 16.76 6.27 312.29 27.01 152.90 66.80 78.06 65.59 -1.145371 0.364867 0.780504 -0.352232 1.435933 -0.902381 0.780504 -1.145371 0.364867 1.435933 0.902381 0.352232 25 2.00683E+25 6.14 29 16.1 0 0.359 303.1 7 176.301 28.927 72.162 23.846 -50.815 50.920 B2
2022-06-20 01:05:07.78 23.6855 121.4543 7.00 6.09 215.05 31.71 73.25 54.53 59.77 100.10 -0.652565 -0.700500 1.352647 0.552512 0.689066 -0.283137 1.352647 -0.652565 -0.700500 0.689066 0.283137 -0.552512 25 1.49444E+25 6.05 11 21.6 0 0.314 206.1 7 137.186 14.220 -130.589 8.713 -10.030 73.226 B3
2022-09-17 13:41:19.11 23.0840 121.1608 8.61 6.60 201.45 61.54 15.04 104.15 76.81 150.70 -5.883489 2.194425 1.405055 5.457242 2.850635 1.787444 1.405055 -5.883489 2.194425 2.850635 -1.787440 -5.457240 25 7.86162E+25 6.53 25 20.0 -8.5 0.381 174.6 7 155.371 10.117 -97.966 58.107 59.486 29.886 B3
2022-09-18 06:44:15.25 23.1370 121.1958 7.81 6.83 210.48 56.31 40.38 95.22 57.38 138.81 -2.908969 0.511630 2.393032 2.373236 0.818364 1.452085 2.393032 -2.908969 0.511630 0.818364 -1.452090 -2.373240 26 3.95421E+26 7.00 25 17.6 0 0.379 255.3 7 153.074 0.634 -116.406 39.333 62.300 50.660 B2
