Longitude Latitude CWADepth strike1 dip1 slip1 strike2 dip2 slip2 ML exponentexponent Longitude Latitude event
120.9741 23.8615 14.54 359.17 26.60 84.44 185.38 63.53 92.78 6.48 25 120.9741 23.8615 event
121.3485 23.5661 14.98 60.15 38.50 111.47 213.47 54.60 73.77 6.42 25 121.3485 23.5661 event
122.6070 25.4491 268.62 261.77 20.24 -95.06 87.16 69.84 -88.14 6.70 25 122.6070 25.4491 event
121.3966 22.6581 27.78 221.31 50.33 133.93 344.84 56.34 50.08 6.28 25 121.3966 22.6581 event
122.4410 24.0223 30.57 288.50 32.59 103.20 92.95 58.37 81.69 6.38 25 122.4410 24.0223 event
120.5438 22.9220 14.64 269.71 33.86 14.97 167.19 81.72 122.95 6.60 25 120.5438 22.9220 event
122.6826 25.4920 256.89 349.84 33.25 -74.82 151.87 58.05 -99.74 6.91 25 122.6826 25.4920 event
123.4198 23.5320 47.02 87.67 35.03 -101.32 281.40 55.75 -82.17 6.07 25 123.4198 23.5320 event
121.7296 24.1006 6.31 114.55 71.42 161.49 210.64 72.49 19.52 6.26 25 121.7296 24.1006 event
121.5591 24.0543 20.33 55.06 30.04 105.37 217.44 61.14 81.29 6.32 25 121.5591 24.0543 event
122.0035 24.7395 75.71 72.41 42.21 158.88 178.38 75.99 49.77 6.64 25 122.0035 24.7395 event
121.7752 24.5333 65.60 52.20 22.18 127.39 192.66 72.55 76.10 6.54 25 121.7752 24.5333 event
122.1710 24.0203 22.35 322.94 26.93 168.75 63.00 84.93 63.52 6.06 25 122.1710 24.0203 event
121.6118 23.3985 25.73 211.17 38.21 101.66 16.46 52.72 80.96 6.70 26 121.6118 23.3985 event
122.5257 23.9702 16.76 312.29 27.01 152.90 66.80 78.06 65.59 6.27 25 122.5257 23.9702 event
121.4543 23.6855 7.00 215.05 31.71 73.25 54.53 59.77 100.10 6.09 25 121.4543 23.6855 event
121.1608 23.0840 8.61 201.45 61.54 15.04 104.15 76.81 150.70 6.60 25 121.1608 23.0840 event
121.1958 23.1370 7.81 210.48 56.31 40.38 95.22 57.38 138.81 6.83 26 121.1958 23.1370 event
