#lon    lat    depth    str     dip    slip   mant  plon     plat    text
120.88 23.79    17    24.99   32.2    97.02  6.22  119.30 23.28 921/M@-w@-6.22
121.06 23.85    24    303.3   49.15   6.52   6.1   119.42 24.97 921/M@-w@-6.1
121.04 23.84    20    337.05  37.8    64.73  6.11  119.30 24.24 921/M@-w@-6.11
120.82 23.6     19    242.48  55.4  -157.59  6.29  119.55 22.53 921/M@-w@-6.29
121.05 23.83    23     13.07  25.47 124.28   6.16  119.30 23.83 921/M@-w@-6.16
121.01 23.86    18     49.74  44.43 126.51   6.24  119.30 24.63 921/M@-w@-6.24
121.73 23.36    31     23.61  37.97  68.82   6.13  122.55 22.52 921/M@-w@-6.13
121.11 23.90     27    296.37 24.33  -7.75  6.07   120.36 25.70 20000610
122.652 23.867  12     230.85 55.98  -9.31   6.6   123.33 23.86 2001121
122.191 24.1398 46     97.07  44.42  85.27   7.1   123.35 24.80 331
121.34 23.1     20     23.05  42.35 104.22   6.5   121.78 22.76 20031210
121.39 22.7     19    337.66  38.93  20.14   6.03  121.68 21.55 20040519
122.91 24.4     80    203.69  30.07   4.15   6.47  122.70 25.00 20041015
