==============================================================================================
There are 77 records found

Search criteria:
  Start: 1996-03-28		End: 2020-04-21
  6.0 <= ML <= 10 		0 <= Depth <= 999 		0 <= Plunge <= 90
  Archived Solutions

File Header:
Date, Time, Latitude, Longitude, CWB Depth, ML, strike1, dip1, slip1, strike2, dip2, slip2, m11, m22, m33, m12, m13, m23, Mrr, Mtt, Mff, Mrt, Mrf, Mtf, exponentexponent, M0, Mw, Centroid_depth, CLVD, ISO, misfit, gap, nsta, Paz, Ppl, Baz, Bpl, Taz, Tpl, QC
==============================================================================================
1996-07-29,20:20:53.53,24.4888,122.3470,65.68,6.14,189.79,44.11,51.60,57.62,56.94,121.05,-0.386010,-1.366326,1.751916,1.158373,1.012454,0.138034,1.751916,-0.386010,-1.366326,1.012454,-0.138034,-1.158370,24,2.22002e+24,5.50,59,5.5,0.0,0.272,323.800,5,126.055,7.007,-140.567,25.616,21.906,63.306,A1
1996-09-05,23:42:07.88,22.0011,121.3666,14.76,7.07,358.50,42.90,94.83,171.92,47.29,85.52,-0.100372,-3.778515,3.878887,-0.309821,0.252947,0.274524,3.878887,-0.100372,-3.778515,0.252947,-0.274524,0.309821,25,3.86029e+25,6.33,23,4.5,0.0,0.744,258.000,5,-94.916,2.198,174.958,3.286,28.809,86.045,D1
1997-10-11,18:24:25.67,24.9808,122.5755,146.35,6.07,149.21,26.29,-129.80,12.11,70.10,-72.45,-0.255499,1.377130,-1.121631,0.239181,-0.442475,1.323961,-1.121631,-0.255499,1.377130,-0.442475,-1.323960,-0.239181,24,1.90152e+24,5.46,154,10.2,0.0,0.424,286.300,5,-51.804,60.996,-174.031,16.470,88.703,23.163,B2
1998-03-08,00:35:44.45,20.6598,122.0206,173.72,6.05,41.65,49.08,-26.88,150.01,70.02,-135.82,-1.055690,4.257101,-0.983667,-0.597175,-2.045638,-1.310145,-0.983667,-1.055690,4.257101,-2.045638,1.310140,0.597175,24,4.04478e+24,5.68,184,10.7,16.2,0.682,335.600,6,14.395,44.808,169.385,42.375,-88.650,12.802,C3
1998-07-17,04:51:14.96,23.5026,120.6625,2.80,6.20,50.19,35.01,124.15,190.56,61.65,68.53,-0.706074,-1.992088,2.697361,1.301196,0.405448,1.827749,2.697361,-0.706074,-1.992088,0.405448,-1.827750,-1.301200,24,3.32709e+24,5.62,2,20.1,0.0,0.494,210.200,5,-63.968,14.089,-158.866,18.788,60.696,66.190,B3
1999-09-20,21:46:38.11,23.5846,120.8570,8.57,6.59,329.57,48.36,-4.35,62.46,86.75,-138.28,2.081661,-2.744685,-0.608060,1.640377,-2.128504,1.579816,-0.608060,2.081661,-2.744685,-2.128504,-1.579820,-1.640380,25,3.97937e+25,6.34,13,16.4,-9.4,0.680,110.200,6,-65.382,30.658,66.101,48.175,-171.769,25.452,C3
1999-09-20,18:11:54.21,23.8648,121.0671,12.49,6.70,340.30,30.03,52.74,201.60,66.53,109.29,0.193711,-1.607775,1.414064,0.016162,-0.748231,1.110824,1.414064,0.193711,-1.607775,-0.748231,-1.110820,-0.016162,25,2.02609e+25,6.14,24,4.6,0.0,0.407,241.700,3,-82.725,19.302,13.668,17.637,142.997,63.359,B1
1999-09-22,00:49:43.45,23.7646,121.0313,17.38,6.20,5.46,23.93,103.95,170.25,66.82,83.89,-0.324917,-4.056031,4.380948,-0.084867,0.974300,3.881115,4.380948,-0.324917,-4.056031,0.974300,-3.881110,0.084867,24,5.82188e+24,5.78,17,13.7,0.0,0.294,250.700,4,-95.104,21.590,172.668,5.612,68.862,67.621,A2
1999-09-22,12:17:20.96,23.7393,120.9811,24.02,6.00,351.70,18.22,57.90,205.14,74.64,99.92,0.225143,-2.246389,2.021246,0.409486,-1.624830,3.077867,2.021246,0.225143,-2.246389,-1.624830,-3.077870,-0.409486,23,4.10758e+23,5.01,22,4.7,0.0,0.271,140.400,4,-72.864,28.971,22.489,9.564,128.906,59.198,A1
