# lon lat depth mag.
121.812 24.317 2.0 3.31
120.980 23.786 18.7 3.37
122.537 24.807 124.0 3.51
121.386 23.067 10.7 4.01
122.117 24.222 28.8 3.38
120.918 23.662 10.0 3.1
121.321 22.980 0.8 3.48
122.380 24.144 22.3 3.75
122.379 24.798 2.2 3.19
122.298 23.685 16.7 3.5
120.805 22.692 27.5 3.38
121.856 24.422 1.0 3.45
121.666 23.925 21.1 3.27
121.739 24.022 20.4 3.56
121.094 22.822 10.8 3.43
121.830 24.183 8.9 4.54
121.923 23.429 10.0 4.4
121.644 23.561 27.9 3.98
121.498 23.636 7.3 3.09
122.291 24.644 68.8 3.0
121.186 22.141 42.0 4.6
120.705 23.841 11.4 3.27
122.502 24.595 77.2 3.52
121.740 23.952 26.0 3.02
120.882 24.261 27.4 3.19
121.146 22.620 18.1 3.26
121.806 24.488 18.5 3.07
121.025 22.297 1.5 4.08
122.416 24.185 32.8 3.5
120.801 23.091 2.4 3.21
122.364 24.145 10.3 3.35
121.900 24.701 54.1 3.45
121.999 24.172 30.1 3.02
122.483 24.836 107.2 3.31
121.696 24.036 8.8 3.01
121.932 24.360 20.1 5.23
121.981 24.335 27.2 3.1
121.985 24.352 24.3 3.18
121.972 24.352 25.3 3.59
121.987 24.350 27.3 3.04
121.081 22.037 49.0 4.08
121.951 24.371 26.6 3.27
122.383 24.674 66.9 3.57
121.900 24.371 16.6 3.33
121.995 24.369 25.9 3.21
121.955 23.568 19.5 3.4
121.993 24.611 36.5 3.04
121.954 24.378 26.4 3.2
121.973 24.390 13.9 4.02
122.276 24.756 87.1 3.39
122.397 24.382 36.5 3.37
121.552 24.129 20.2 3.45
122.343 24.845 6.0 3.76
122.385 24.833 2.7 3.12
122.407 24.843 3.3 3.11
120.920 22.660 16.0 3.09
122.312 24.573 0.8 4.59
122.399 24.598 1.7 3.1
121.090 22.807 0.1 4.01
122.252 24.526 7.1 3.87
121.875 24.436 1.9 3.23
121.981 24.183 17.5 3.12
120.626 23.148 4.8 3.31
121.340 22.642 21.6 4.17
122.262 24.354 30.0 3.31
121.624 23.622 27.5 4.03
122.653 24.101 16.3 3.48
122.219 24.186 26.8 3.35
122.424 24.839 12.4 3.27
122.496 24.659 96.0 4.63
120.880 23.692 0.4 3.97
120.878 23.640 5.3 3.22
121.882 24.906 100.5 3.57
120.887 22.672 0.5 4.13
122.359 24.500 9.1 3.03
121.650 23.354 35.4 3.28
121.613 24.041 41.5 3.2
122.057 24.150 2.2 3.18
120.316 24.575 14.2 3.14
122.160 24.168 3.2 3.31
121.169 21.998 31.3 4.86
122.092 24.851 82.6 3.28
120.717 22.808 16.8 3.22
122.733 24.433 13.4 3.37
122.117 24.693 66.9 3.29
121.828 24.248 33.1 3.0
121.721 24.131 47.9 3.35
120.840 22.261 33.9 3.4
120.916 23.262 0.3 3.52
120.936 23.559 5.9 3.31
120.928 23.559 9.3 3.78
120.937 23.572 9.3 3.88
120.941 23.578 6.1 3.86
121.682 24.002 29.4 3.48
121.319 22.606 24.4 3.55
120.662 22.673 28.3 3.32
121.968 23.960 30.1 3.56
121.951 24.335 38.6 3.0
121.706 23.982 48.5 3.94
121.789 24.929 118.2 3.66
121.701 24.378 52.7 3.52
121.317 22.734 30.1 4.29
121.445 23.822 8.5 3.63
121.119 24.971 15.5 3.07
121.108 24.976 18.7 3.83
122.757 24.532 11.8 4.49
122.518 24.382 33.9 3.88
122.360 24.296 31.4 3.29
120.509 23.348 10.9 3.2
122.158 24.674 64.3 3.12
120.413 23.345 15.0 4.2
122.137 24.595 11.8 3.64
121.765 23.896 10.4 4.33
122.481 24.673 88.7 3.24
120.418 23.315 18.0 3.17
121.578 22.693 17.4 4.04
122.092 24.837 103.8 3.12
120.801 23.354 0.8 3.6
121.759 24.126 32.0 3.2
121.919 24.849 66.1 3.58
122.385 24.458 1.8 3.19
121.293 22.598 10.9 3.29
121.739 24.430 28.1 3.83
122.036 24.314 6.2 3.95
121.889 24.123 23.7 3.08
121.808 24.601 67.0 3.51
121.386 22.982 32.8 3.84
121.295 22.956 7.9 3.19
121.811 23.630 20.6 3.47
121.744 24.640 72.8 3.73
121.368 23.131 10.0 3.36
122.199 24.794 6.0 3.86
120.800 23.358 1.7 3.38
122.406 24.583 34.8 3.26
122.215 24.925 6.2 3.17
121.663 23.543 40.3 3.83
121.835 24.722 63.5 3.05
122.316 24.245 25.7 3.18
122.698 24.631 93.4 3.99
121.631 23.223 33.5 3.43
121.285 22.588 23.0 3.49
121.358 23.162 6.1 3.23
121.586 24.209 37.6 3.68
121.614 23.507 27.5 3.18
121.882 24.808 87.2 3.92
121.926 24.401 13.9 3.01
121.663 23.725 35.5 3.4
122.372 24.990 181.6 3.87
121.722 23.968 41.2 3.28
121.929 24.809 83.1 3.19
122.350 24.857 106.4 3.61
122.241 24.524 38.0 3.02
121.790 24.171 45.8 3.03
120.886 22.670 2.9 3.48
121.404 22.312 9.6 3.66
121.891 24.432 25.9 3.2
121.609 23.493 20.2 3.52
121.960 24.224 28.0 3.08
121.075 23.953 6.3 3.08
121.764 23.889 14.7 3.5
122.166 24.883 110.1 3.41
122.249 24.173 29.6 3.24
122.431 24.045 8.7 4.55
121.559 23.981 7.8 3.64
121.653 25.113 133.7 3.18
122.634 22.746 4.1 4.91
120.942 23.541 9.7 3.21
121.485 23.174 17.3 3.65
122.624 24.027 9.0 4.11
121.701 23.901 40.7 3.27
121.717 23.908 24.4 4.29
121.977 24.600 1.5 3.45
121.585 24.198 4.3 3.15
122.803 23.796 14.6 3.88
121.669 23.364 37.9 3.54
121.599 23.547 24.1 3.31
121.591 23.869 2.4 3.18
121.076 22.803 2.0 3.63
121.201 22.747 3.4 3.04
121.609 23.865 1.9 3.61
121.586 23.885 2.8 3.31
121.826 24.515 10.5 3.12
121.752 23.948 16.0 3.52
122.587 24.735 107.9 3.71
121.555 23.888 4.3 3.08
122.746 24.256 29.7 4.55
122.229 24.379 32.9 3.64
121.598 23.864 4.0 3.07
121.571 23.875 1.2 3.03
121.985 23.705 11.7 3.32
122.783 24.361 19.9 3.97
120.990 23.784 14.6 3.27
120.681 22.853 13.9 3.7
122.487 24.842 0.8 3.88
122.445 24.808 10.4 3.14
120.898 22.686 1.8 3.71
120.676 22.851 17.7 3.71
122.663 24.828 1.5 3.32
122.217 24.434 55.3 3.09
121.815 24.929 104.5 3.71
121.314 21.389 52.5 4.71
121.915 23.148 25.1 3.48
121.923 24.154 23.0 3.37
121.990 24.021 18.1 3.79
121.700 23.921 34.1 3.51
122.052 23.690 22.4 3.65
121.334 22.976 17.5 3.02
121.537 24.009 20.6 3.27
121.096 22.290 7.5 3.35
121.980 24.076 27.6 3.4
122.003 24.056 29.1 3.27
121.725 23.424 33.8 4.4
121.702 23.461 32.9 3.21
121.747 23.998 40.0 3.17
121.428 23.731 3.4 3.22
121.119 22.896 5.4 3.01
121.696 23.890 35.2 3.35
120.656 22.808 29.4 3.12
120.693 22.864 8.3 3.13
121.873 24.897 112.2 3.17
120.667 22.833 22.8 3.14
120.974 23.852 17.9 3.15
121.701 23.474 29.0 3.74
121.792 24.921 93.7 3.02
121.465 23.749 2.0 3.18
122.091 24.836 89.1 3.36
121.455 21.320 78.2 4.89
