 Longitude  Latitude  ML  strike1  dip1  slip1  ML 0 0 event
122.3470 24.4888 6.14 189.79 44.11 51.60 6.14 0 0 event
121.3666 22.0011 7.07 358.50 42.90 94.83 7.07 0 0 event
122.5755 24.9808 6.07 149.21 26.29 -129.80 6.07 0 0 event
122.0206 20.6598 6.05 41.65 49.08 -26.88 6.05 0 0 event
120.6625 23.5026 6.20 50.19 35.01 124.15 6.20 0 0 event
120.8570 23.5846 6.59 329.57 48.36 -4.35 6.59 0 0 event
121.0671 23.8648 6.70 340.30 30.03 52.74 6.70 0 0 event
121.0313 23.7646 6.20 5.46 23.93 103.95 6.20 0 0 event
120.9811 23.7393 6.00 351.70 18.22 57.90 6.00 0 0 event
121.0466 23.8263 6.80 286.64 19.92 27.91 6.80 0 0 event
121.0023 23.8541 6.80 347.99 32.44 62.12 6.80 0 0 event
120.4306 23.5330 6.00 56.26 66.41 172.38 6.00 0 0 event
120.4225 23.5170 6.40 38.52 42.53 124.63 6.40 0 0 event
121.7258 23.3618 6.90 220.49 35.13 116.88 6.90 0 0 event
121.1091 23.9010 6.70 312.36 21.30 24.40 6.70 0 0 event
120.9326 23.4110 6.10 350.93 66.85 -21.28 6.10 0 0 event
121.5838 24.0853 6.20 69.95 37.82 120.22 6.20 0 0 event
122.6065 24.3811 6.25 48.20 38.98 139.34 6.25 0 0 event
121.9280 24.4188 6.30 84.60 47.34 -18.29 6.30 0 0 event
122.6520 23.8670 6.70 238.01 71.86 5.73 6.70 0 0 event
121.7226 23.7406 6.20 242.52 41.07 133.56 6.20 0 0 event
122.1915 24.1398 6.80 305.41 50.18 132.28 6.80 0 0 event
121.8718 24.6510 6.20 12.86 58.65 165.36 6.20 0 0 event
122.3968 23.9130 6.20 301.74 36.70 131.46 6.20 0 0 event
121.3720 22.2608 6.03 230.74 48.80 133.09 6.03 0 0 event
122.3875 25.1015 6.80 143.11 42.14 -104.28 6.80 0 0 event
121.6991 23.5036 6.48 230.82 22.39 138.31 6.48 0 0 event
121.3981 23.0666 6.42 184.06 28.97 88.87 6.42 0 0 event
121.3698 22.7135 6.03 327.15 41.49 15.99 6.03 0 0 event
122.8516 24.4623 7.10 207.91 19.59 14.04 7.10 0 0 event
122.7603 23.7948 6.58 293.84 29.70 129.75 6.58 0 0 event
122.1580 24.3116 6.09 297.34 35.07 135.08 6.09 0 0 event
122.0663 24.6366 6.00 52.05 35.50 129.65 6.00 0 0 event
122.2835 23.9581 6.00 301.46 32.66 141.96 6.00 0 0 event
121.0806 22.8835 6.23 176.99 72.39 9.61 6.23 0 0 event
121.3035 22.8555 6.04 218.61 38.02 132.88 6.04 0 0 event
122.6580 23.9661 6.02 285.07 34.95 118.48 6.02 0 0 event
123.0656 24.7983 6.00 206.31 9.25 37.70 6.00 0 0 event
119.9251 20.7665 6.05 146.61 38.25 -57.93 6.05 0 0 event
119.8285 20.6953 6.06 338.76 28.94 -102.63 6.06 0 0 event
120.5553 21.6873 6.96 168.11 44.46 -61.51 6.96 0 0 event
120.4196 21.9698 6.99 99.14 40.06 -86.91 6.99 0 0 event
