>>time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019/7/26,35.6346664,-117.5029984,9.01,2.62,ml,41,63,0.05844,0.17,ci,ci38651039,2019-07-26T23:49:09.884Z,"16km E of Ridgecrest, CA",earthquake,0.22,0.61,0.277,23,automatic,ci,ci
2019/7/26,35.8081667,-117.6323333,8.16,3.02,ml,50,26,0.0293,0.15,ci,ci38649551,2019-10-11T20:12:35.040Z,"21km WNW of Searles Valley, CA",earthquake,0.12,0.33,0.126,93,reviewed,ci,ci
2019/7/26,36.1213333,-117.8645,1.32,2.72,ml,32,55,0.008657,0.17,ci,ci38649311,2019-07-26T15:01:39.868Z,"11km NE of Coso Junction, CA",earthquake,0.29,0.45,0.182,25,automatic,ci,ci
2019/7/26,35.605,-117.6008333,5.02,2.98,ml,76,19,0.03094,0.14,ci,ci38648599,2020-01-30T01:15:28.763Z,"7km ESE of Ridgecrest, CA",earthquake,0.08,0.2,0.165,172,reviewed,ci,ci
2019/7/26,36.0815,-117.8441667,1.56,2.85,ml,32,52,0.03703,0.15,ci,ci38648423,2019-07-26T18:08:22.466Z,"10km ENE of Coso Junction, CA",earthquake,0.21,0.29,0.146,25,automatic,ci,ci
2019/7/26,35.5638333,-117.3991667,4.11,2.67,ml,36,44,0.04799,0.17,ci,ci38648223,2019-07-26T11:02:11.330Z,"22km S of Trona, CA",earthquake,0.24,0.52,0.156,25,automatic,ci,ci
2019/7/26,35.936,-117.6998333,2.83,3.22,ml,46,28,0.04185,0.16,ci,ci38647543,2019-10-11T20:12:34.040Z,"19km E of Little Lake, CA",earthquake,0.13,0.45,0.12,264,reviewed,ci,ci
2019/7/26,35.9211667,-117.705,1.9,3.17,ml,48,32,0.05174,0.15,ci,ci38646639,2019-10-11T20:12:33.040Z,"18km E of Little Lake, CA",earthquake,0.1,0.18,0.135,88,reviewed,ci,ci
2019/7/26,35.9146667,-117.7151667,2.07,2.73,ml,35,39,0.09013,0.15,ci,ci38645591,2019-07-26T02:19:02.750Z,"17km E of Little Lake, CA",earthquake,0.18,0.35,0.178,26,automatic,ci,ci
2019/7/26,35.6458333,-117.453,9.98,3.06,ml,52,38,0.03067,0.15,ci,ci38645471,2019-10-11T20:12:32.040Z,"14km SSW of Searles Valley, CA",earthquake,0.12,0.22,0.162,92,reviewed,ci,ci
2019/7/26,35.6486667,-117.4415,10.58,2.87,ml,39,60,0.02191,0.15,ci,ci38645295,2019-07-26T01:30:49.690Z,"14km SSW of Searles Valley, CA",earthquake,0.21,0.34,0.188,26,automatic,ci,ci
2019/7/26,35.5491667,-117.38,4.84,2.67,ml,36,55,0.02726,0.23,ci,ci38645287,2019-07-26T01:28:46.790Z,"24km S of Trona, CA",earthquake,0.29,0.55,0.204,25,automatic,ci,ci
2019/7/26,35.9205,-117.7086667,2.14,3.23,ml,50,33,0.05464,0.16,ci,ci38645087,2019-10-11T20:12:32.040Z,"18km E of Little Lake, CA",earthquake,0.12,0.24,0.179,249,reviewed,ci,ci
2019/7/26,35.9328333,-117.6991667,2.2,2.62,ml,34,58,0.07915,0.18,ci,ci38645039,2019-07-26T01:02:24.840Z,"19km E of Little Lake, CA",earthquake,0.22,0.4,0.172,25,automatic,ci,ci
2019/7/26,35.9378333,-117.6986667,2.63,2.57,ml,27,49,0.07872,0.21,ci,ci38645007,2019-07-26T00:58:00.160Z,"19km E of Little Lake, CA",earthquake,0.28,0.45,0.156,27,automatic,ci,ci
