> AF-AN
0.443       -54.451                   
3.025       -53.651                   
3.369       -53.834                   
3.956       -54.127                   
4.827       -54.162                   
5.084       -54.309                   
6.625       -53.814                   
7.237       -54.101                   
9.993       -52.792                   
10.542      -53.065                   
12.895      -51.963                   
13.204      -52.141                   
14.463      -51.997                   
15.822      -51.787                   
16.907      -52.169                   
17.806      -52.467                   
18.712      -52.553                   
19.994      -52.817                   
21.25       -52.909                   
22.504      -53.051                   
23.021      -53.2                     
23.886      -53.309                   
24.685      -53.422                   
> AN-AF
32.126      -47                       
30.705      -49.011                   
28.111      -52.904                   
27.479      -52.771                   
27.37       -52.673                   
27.322      -52.547                   
25.987      -53.582                   
25.861      -53.48                    
25.647      -53.41                    
25.18       -53.444                   
> SO-AN
32.126      -47                       
33.54       -46.346                   
33.818      -45.979                   
33.982      -46.081                   
34.087      -46.09                    
34.267      -46.212                   
34.504      -46.222                   
35.014      -45.106                   
35.182      -44.855                   
35.66       -44.866                   
35.973      -44.961                   
36.303      -44.966                   
36.677      -44.92                    
37.085      -44.804                   
37.508      -44.875                   
38.338      -44.055                   
39.459      -43.286                   
40.506      -43.438                   
41.812      -42.655                   
42.873      -40.85                    
44.023      -40.671                   
44.716      -40.369                   
45.332      -40.109                   
46.244      -38.87                    
47.135      -38.764                   
48.017      -38.478                   
48.633      -38.014                   
49.037      -37.792                   
49.962      -37.597                   
50.827      -37.451                   
51.555      -37.442                   
52.338      -36.162                   
52.902      -36.153                   
53.471      -35.517                   
54.255      -34.542                   
55.301      -34.287                   
55.738      -33.653                   
56.401      -33.627                   
57.153      -31.771                   
57.8        -31.722                   
58.53       -31.055                   
59.188      -30.567                   
60.005      -30.561                   
60.747      -30.014                   
60.81       -28.931                   
61.518      -28.777                   
62.135      -28.49                    
62.703      -28.153                   
63.194      -28.021                   
63.604      -27.831                   
64.467      -27.817                   
65.348      -27.514                   
66.373      -27.281                   
67.156      -26.867                   
67.433      -26.572                   
67.979      -26.291                   
68.598      -26.121                   
68.829      -26.009                   
69.138      -25.784                   
69.49       -25.676                   
> SO-IN
58.239      12.745                    
57.868      13.002                    
57.81       13.451                    
57.689      13.523                    
57.478      13.643                    
57.299      13.772                    
57.14       13.848                    
57.037      14.068                    
56.903      14.141                    
56.819      14.302                    
> AU-SO
67.811      -7.253                    
67.642      -8.027                    
67.09       -9.27                     
66.46       -10.35                    
66.167      -11.21                    
65.698      -12.019                   
66.033      -12.426                   
65.821      -13.268                   
65.928      -13.979                   
66.208      -14.339                   
66.488      -14.698                   
66.888      -15.27                    
67.29       -15.821                   
67.033      -16.139                   
65.007      -18.058                   
65.264      -18.443                   
65.522      -18.828                   
66.033      -19.577                   
66.751      -19.87                    
67.31       -20.073                   
67.768      -20.28                    
68.213      -20.291                   
68.277      -20.878                   
68.653      -21.449                   
68.797      -22.387                   
69.162      -22.83                    
69.558      -23.373                   
69.402      -24.04                    
69.68       -24.369                   
69.592      -24.97                    
> EU-AF
-29.77      39.4                      
-29.335     39.315                    
-29.297     39.255                    
-28.895     39.412                    
-28.853     39.373                    
-28.781     39.299                    
-28.745     39.263                    
-28.686     39.214                    
-28.666     39.179                    
-28.484     39.156                    
-28.452     39.134                    
-28.42      39.093                    
-28.396     39.058                    
-28.365     39.02                     
-28.342     38.993                    
-27.955     39.004                    
-27.793     39                        
-27.722     38.942                    
-27.68      38.914                    
-27.606     38.863                    
-27.559     38.836                    
-27.484     38.782                    
-27.239     38.78                     
-27.203     38.7                      
-27.174     38.666                    
-27.129     38.607                    
-27.09      38.571                    
-27.029     38.491                    
-27.007     38.464                    
-26.941     38.4                      
-26.901     38.36                     
-26.718     38.42                     
-26.647     38.358                    
-26.614     38.324                    
-26.532     38.255                    
-26.494     38.222                    
-26.417     38.149                    
-26.379     38.116                    
-26.302     38.047                    
-26.171     38.036                    
-26.075     37.965                    
-26.043     37.936                    
-25.808     37.878                    
-25.734     37.816                    
-25.698     37.79                     
-25.538     37.818                    
-25.464     37.752                    
-25.427     37.718                    
-25.267     37.769                    
-24.983     37.644                    
-24.931     37.609                    
-24.892     37.584                    
-24.845     37.552                    
-24.816     37.533                    
-24.775     37.5                      
-24.733     37.467                    
-24.667     37.411                    
-24.702     37.352                    
-24.738     37.273                    
-24.75      37.217                    
-24.681     37.127                    
-24.635     37.095                    
-24.554     37.017                    
-24.5       36.971                    
-24.434     36.91                     
-24.385     36.863                    
-24.311     36.792                    
-24.146     36.789                    
-24.046     36.755                    
-15.387     37.212                    
> IN-SO
56.919      9.971                     
56.978      9.857                     
57.029      9.857                     
57.261      9.681                     
57.491      9.942                     
58.018      9.45                      
58.148      9.09                      
58.251      8.647                     
58.611      8.401                     
58.88       8.097                     
59.22       7.673                     
59.7        7.312                     
60.038      6.767                     
60.67       6.31                      
61.142      5.91                      
61.529      5.262                     
62          4.911                     
62.457      4.523                     
62.868      3.893                     
63.388      3.7                       
63.89       3.602                     
