> AF-AN     
-0.438      -54.852                  
-0.039      -54.677                  
0.965       -54.832                  
1.695       -54.399                  
2.36        -54.037                  
4.415       -54.43                   
5.495       -54.543                  
6.184       -54.114                  
7.772       -54.396                  
8.288       -54.033                  
8.799       -53.668                  
9.429       -53.233                  
10.975      -53.332                  
11.708      -52.783                  
12.299      -52.375                  
13.788      -52.477                  
15.112      -52.307                  
15.428      -52.084                  
18.537      -52.734                  
23.075      -53.098                  
> AN-AF
31.865      -47.201                  
31.588      -47.682                  
31.306      -48.163                  
31.008      -48.587                  
30.362      -49.215                  
30.006      -49.611                  
29.712      -49.933                  
29.343      -50.507                  
28.969      -51.137                  
28.605      -51.772                  
28.403      -52.277                  
28.312      -52.54                   
26.713      -52.378                  
26.513      -52.62                   
26.338      -53.065                  
26.181      -53.429                  
> SO-AN
33.174      -47.264                  
33.359      -46.806                  
34.704      -45.971                  
34.868      -45.466                  
38.083      -44.619                  
38.194      -44.401                  
39.073      -44.165                  
39.267      -43.726                  
41.558      -43.579                  
41.686      -43.117                  
42.469      -42.73                   
42.572      -42.26                   
42.674      -41.79                   
42.774      -41.32                   
44.009      -40.915                  
44.686      -40.691                  
45.303      -40.366                  
46.074      -40.119                  
46.16       -39.494                  
48.023      -38.651                  
49.034      -38                      
49.945      -37.79                   
50.823      -37.58                   
52.283      -37.432                  
52.311      -36.797                  
53.466      -36.141                  
54.216      -35.302                  
55.275      -34.561                  
55.699      -34.235                  
57.061      -33.554                  
57.091      -32.835                  
57.122      -32.303                  
58.456      -31.691                  
59.167      -31.05                   
60.763      -30.531                  
60.762      -29.999                  
60.786      -29.465                  
61.532      -28.92                   
62.162      -28.811                  
62.746      -28.458                  
63.211      -28.164                  
63.621      -28.039                  
65.332      -27.812                  
66.359      -27.514                  
67.129      -27.269                  
67.424      -26.87                   
67.962      -26.583                  
68.622      -26.263                  
68.82       -26.141                  
69.15       -25.993                  
69.46       -25.782                  
> SO-IN
57.301      13.74                    
> AU-SO
68.274      -6.811                   
68.073      -7.648                   
68.039      -8.492                   
67.565      -8.881                   
67.378      -9.63                    
66.92       -9.99                    
66.787      -10.762                  
66.418      -11.559                  
66.369      -12.833                  
66.21       -13.777                  
67.383      -15.942                  
67.41       -16.659                  
66.708      -17.09                   
66.143      -17.45                   
65.542      -17.783                  
66.428      -20.078                  
67.04       -20.218                  
67.593      -20.369                  
67.897      -20.469                  
68.559      -20.712                  
69.202      -22.088                  
69.85       -23.709                  
69.939      -24.678                  
70.09       -25.483                  
> EU-AF
-29.26      39.25                    
-29.188     39.279                   
-29.147     39.294                   
-29.09      39.323                   
-29.049     39.338                   
-28.982     39.366                   
-28.951     39.379                   
-28.619     39.121                   
-28.566     39.13                    
-28.292     38.939                   
-28.215     38.952                   
-28.12      38.968                   
-28.059     38.983                   
-25.916     37.839                   
-25.101     37.646                   
-24.255     36.781                   
-23.57      36.646                   
-22.893     36.702                   
-22.216     36.754                   
-21.507     36.82                    
-20.797     36.881                   
-20.24      36.954                   
-18.124     37.466                   
-17.584     37.503                   
-16.742     37.435                   
-15.842     37.297                   
-13.675     37.395                   
-12.903     36.864                   
-12.142     36.328                   
-9.977      36.651                   
-9.545      36.43                    
18.062      39.006                   
> IN-SO
58.239      12.745                   
58.017      12.283                   
57.796      11.821                   
57.576      11.359                   
57.356      10.896                   
57.138      10.434                   
58.063      9.532                    
