CLIA 120.4325 22.8301  -48.92   -7.85   -9.17    0.66    0.69    1.34
FLIS 120.3942 22.6964  -53.82   -6.25   -2.13    0.59    0.59    1.30
FONS 120.3817 22.5301  -44.62  -16.21   -2.69    0.56    0.56    1.28
G001 120.4960 22.7818  -52.38   -5.84   -2.52    0.43    0.44    0.99
G002 120.4426 22.7231  -50.91   -6.25    0.38    0.49    0.49    1.07
G003 120.6099 22.7021  -53.37   -0.12   -3.51    0.52    0.52    1.16
G004 120.5646 22.6613  -54.19   -1.07   -1.79    0.42    0.42    0.99
G005 120.5258 22.6214  -51.27   -1.81   -4.18    0.43    0.42    0.98
G006 120.5944 22.5708  -53.87   -0.04   -5.31    0.56    0.56    1.17
G007 120.4668 22.6545  -50.97   -6.48    4.49    0.72    0.65    1.40
G010 120.5884 22.5086  -54.54   -0.05   -4.33    0.42    0.42    0.97
G011 120.3930 22.5076  -44.19  -16.32   -4.15    0.57    0.58    1.17
G012 120.4515 22.5243  -45.08  -13.89  -13.40    0.47    0.46    1.06
G013 120.5512 22.4714  -52.06   -1.72  -27.61    0.65    0.66    1.74
G014 120.4955 22.4573  -46.60   -8.17  -17.35    0.56    0.58    1.30
G015 120.4948 22.4259  -50.13  -15.46  -19.94    0.43    0.42    0.97
G016 120.4608 22.8347  -49.68   -5.07   -3.38    0.43    0.42    0.99
G017 120.5983 22.8273  -52.56   -0.95   -5.80    0.42    0.42    1.00
G018 120.6107 22.7908  -53.36   -0.57   -4.63    0.51    0.49    1.10
G019 120.5758 22.7537  -52.82   -1.63   -4.18    0.55    0.53    1.19
G020 120.4900 22.7358  -52.29   -6.75   -1.78    0.39    0.39    0.99
G021 120.5069 22.6983  -52.39   -4.30   -7.16    0.53    0.54    1.20
G022 120.3947 22.6059  -46.37  -15.54   -1.49    0.42    0.42    1.00
G023 120.4687 22.6148  -50.94   -7.56   -1.58    0.44    0.43    1.01
G024 120.5947 22.6307  -52.20   -1.61   -3.52    0.56    0.56    1.21
G025 120.5660 22.6088  -53.09    0.38   -3.88    0.45    0.45    1.01
G026 120.4251 22.5653  -47.03   -8.54  -12.13    0.59    0.60    1.23
G027 120.5431 22.5345  -53.50   -2.92  -15.99    0.57    0.58    1.20
G028 120.5123 22.5147  -53.69   -2.09  -14.12    0.48    0.48    1.05
G029 120.6159 22.4230  -53.20    1.39   -1.49    0.43    0.43    0.99
G030 120.4553 22.4703  -44.21  -16.79  -22.61    0.51    0.51    1.18
G031 120.5267 22.4265  -54.58   -1.96  -25.86    0.43    0.43    1.00
G032 120.5497 22.3967  -58.94   -7.56  -20.86    1.43    1.41    3.42
G033 120.5952 22.4097  -53.80   -0.05   -4.95    0.48    0.49    1.10
G034 120.5893 22.3687  -53.21    1.67  -14.01    0.50    0.50    1.12
G035 120.6210 22.3307  -47.63    0.32   -1.97    0.56    0.57    1.22
G048 120.5536 22.8996  -54.23   -5.88  -12.31    0.62    0.60    1.24
G049 120.6646 22.8856  -51.26   -4.85   -8.69    0.68    0.62    1.23
G050 120.6491 22.5276  -55.58    2.49    0.22    0.44    0.44    1.06
G051 120.4800 22.5632  -47.71   -4.10   -5.22    0.65    0.68    1.29
G052 120.6319 22.5908  -55.90    2.24   -3.92    0.49    0.46    1.08
G053 120.6872 22.6762  -54.40   -0.11   19.41    2.62    2.58    6.10
G054 120.6411 22.8174  -53.11    1.33   -3.02    0.45    0.45    1.07
G149 120.1811 22.9031  -11.85   -5.34   -9.31    0.92    0.94    1.73
