120.1811 22.9031   13.00    G149
120.1950 22.8647   20.90    G151
120.2246 22.8146   29.32    G153
120.2487 22.7334   41.55    G156
120.2527 22.7701   26.63    I042
120.2588 22.8562   26.90    G152
120.2620 22.9102   25.65    G150
120.2712 22.6088   53.82    G157
120.2884 22.8012   26.90    G154
120.2928 22.7599   41.98    S133
120.2930 22.6917   47.24    G158
120.2992 22.8946   25.25    G397
120.3033 22.7937   38.36    G574
120.3237 22.8493   32.06    G572
120.3253 22.5437   50.02    G160
120.3500 22.8765   33.13    G472
120.3520 22.9048   36.36    S146
120.3562 22.7295   51.45    G593
120.3579 22.6834   52.71    G159
120.3607 22.8642   31.62    G575
120.3636 22.7855   38.18    G527
120.3671 22.8127   46.31    S138
120.3785 22.6149   54.51    SASL
120.3788 22.8777   29.20    G474
120.3800 22.7477   52.29    G155
120.3817 22.5301   47.47    FONS
120.3930 22.5076   47.11    G011
120.3942 22.6964   54.18    FLIS
120.3947 22.6059   48.90    G022
120.4052 22.7233   50.75    G594
120.4053 22.7775   53.14    G536
120.4055 22.8374   36.51    G589
120.4251 22.5653   47.80    G026
120.4325 22.8301   49.55    CLIA
120.4426 22.7231   51.29    G002
120.4494 22.7760   47.93    G543
120.4515 22.5243   47.17    G012
120.4553 22.4703   47.29    G030
120.4608 22.8347   49.94    G016
120.4668 22.6545   51.38    G007
120.4687 22.6148   51.50    G023
120.4800 22.5632   47.89    G051
120.4900 22.7358   52.72    G020
120.4922 22.8821   47.41    G485
120.4948 22.4259   52.46    G015
120.4955 22.4573   47.31    G014
120.4960 22.7818   52.70    G001
120.5059 22.8200   50.59    G590
120.5069 22.6983   52.57    G021
120.5123 22.5147   53.73    G028
120.5200 22.8842   49.38    G489
120.5244 22.7777   52.61    G550
120.5258 22.6214   51.30    G005
120.5267 22.4265   54.62    G031
120.5330 22.8302   47.10    G441
120.5428 22.9007   47.28    G587
120.5431 22.5345   53.58    G027
120.5497 22.3967   59.42    G032
120.5512 22.4714   52.09    G013
120.5536 22.8996   54.55    G048
120.5603 22.7855   52.22    G555
120.5646 22.6613   54.20    G004
120.5660 22.6088   53.09    G025
120.5711 22.8787   51.60    G493
120.5758 22.7537   52.85    G019
120.5884 22.5086   54.54    G010
120.5893 22.3687   53.24    G034
120.5944 22.5708   53.87    G006
120.5947 22.6307   52.22    G024
120.5952 22.4097   53.80    G033
120.5983 22.8273   52.57    G017
120.6008 22.3634   57.77    G624
120.6017 22.6666   52.08    G611
120.6029 22.7868   52.66    G560
120.6062 22.6450   53.32    S23R
