      lon        lat       Ve       Vn        Se       Sn      Cen     site
   241.46038   34.40677  -26.560   24.033    4.079    2.670   0.0385  0704_GPS
   242.89608   34.02194  -21.625   17.881    4.413    4.006  -0.2114  0818_GPS
   245.29603   32.74605    0.290    3.247    4.831    4.354   0.2601  1105_GPS
   242.72360   33.12902  -27.436   26.497    4.849    4.508  -0.1768  1107_GPS
   243.75336   33.15942  -22.156   23.456    0.738    0.719  -0.0546  1109_GPS
   244.11235   33.17665  -13.974   13.636    1.069    0.948   0.0116  1110_GPS
   243.15988   34.51599  -17.639   12.842    1.366    1.223  -0.0115  6052_GPS
   243.28426   34.67627  -17.196    6.921    1.016    0.898   0.0174  7000_GPS
   243.53066   34.56011   -8.919   -3.783    1.403    1.222  -0.0173  7001_GPS
   244.39072   33.02996   -5.297   11.403    0.668    0.703  -0.0977  ACUT_GPS
   239.54737   35.55121  -24.464   30.566    0.924    0.784   0.0791  ALMO_GPS
   242.32525   34.24819  -22.080   18.384    1.619    1.805   0.0723  ANTO_GPS
   243.33840   33.55571  -18.611   24.455    1.370    1.268  -0.0330  ANZA_GPS
   241.16969   34.15744  -29.250   29.915    0.687    0.648   0.0166  AOA1_GPS
   244.75414   32.62925   -5.207    7.092    0.741    0.680  -0.0339  ASA1_GPS
   242.10352   34.12602  -28.041   21.147    3.473    3.485  -0.0612  AZU1_GPS
   242.60625   34.46227  -18.391   13.845    1.557    1.518  -0.0747  BALD_GPS
   243.11582   34.26403  -15.395   25.161    1.122    0.971  -0.0371  BEAR_GPS
   242.52057   33.52272  -25.674   29.206    3.663    3.868  -0.0553  BELA_GPS
   239.64869   35.74565  -21.164   28.004    0.862    0.775  -0.0558  BENH_GPS
   243.82497   33.81018   -5.930    7.347    0.789    0.693  -0.0388  BERD_GPS
   244.28010   33.66380   -3.113    1.367    0.620    0.579  -0.0397  BLAC_GPS
   238.71606   35.66391  -26.838   37.193    1.058    0.763   0.0050  BLAN_GPS
   239.16882   35.35810  -28.329   36.003    0.719    0.619  -0.0208  BLHL_GPS
   241.48202   32.92620  -31.865   36.233    1.068    0.857  -0.1095  BLUF_GPS
   245.28504   33.61049   -1.402   -0.137    0.545    0.507  -0.0271  BLYT_GPS
   239.94123   35.41835  -23.072   24.549    1.103    1.038   0.0154  BOB1_GPS
   244.49356   32.66451  -19.597   25.428    0.905    0.885  -0.0469  BORD_GPS
   243.46716   33.77554  -12.424   18.193    0.779    0.805  -0.0411  BOTR_GPS
   241.72295   34.18489  -26.231   23.108    0.696    0.680   0.0124  BRAN_GPS
   241.59575   33.40645  -30.927   34.894    1.155    0.817   0.0138  BRSH_GPS
   243.22460   33.91566  -12.663   20.937    0.712    0.682  -0.0312  CABA_GPS
   243.72646   33.63845  -12.475   14.453    0.737    0.750  -0.0311  CAHU_GPS
   244.49118   33.16898   -1.117   -1.732    0.948    0.921  -0.0070  CALI_GPS
   242.23408   34.22135  -24.691   22.662    4.565    3.291  -0.0010  CAMP_GPS
